price,review_scores_rating,availability_90,neighbourhood_group_cleansed,host_acceptance_rate,host_response_time,host_identity_verified,host_has_profile_pic,number_of_reviews,instant_bookable,host_is_superhost
35,98.0,0,Friedrichshain-Kreuzberg,,,Yes,Yes,8,No,No
35,98.0,0,Neukölln,50,,Yes,Yes,50,No,No
174,99.0,67,Mitte,83,within a few hours,Yes,Yes,17,No,Yes
90,100.0,41,Charlottenburg-Wilm.,100,,Yes,Yes,18,No,Yes
40,98.0,81,Mitte,100,within an hour,Yes,Yes,8,No,Yes
22,95.0,58,Lichtenberg,100,within an hour,Yes,Yes,87,Yes,No
135,100.0,90,Mitte,98,within an hour,Yes,Yes,9,Yes,Yes
40,100.0,83,Neukölln,40,within an hour,Yes,Yes,1,No,No
200,98.0,57,Charlottenburg-Wilm.,100,within a few hours,Yes,Yes,58,Yes,Yes
95,90.0,90,Steglitz - Zehlendorf,30,within a few hours,No,Yes,2,No,No
84,86.0,83,Tempelhof - Schöneberg,57,within a day,No,Yes,26,No,No
125,96.0,50,Charlottenburg-Wilm.,80,within a day,Yes,Yes,78,No,Yes
53,80.0,5,Mitte,97,within an hour,Yes,Yes,1,Yes,No
50,96.0,0,Tempelhof - Schöneberg,,,Yes,Yes,12,Yes,No
85,93.0,81,Mitte,99,within an hour,Yes,Yes,93,No,Yes
42,96.0,31,Mitte,69,within a day,Yes,Yes,54,No,No
34,87.0,0,Charlottenburg-Wilm.,100,,Yes,Yes,132,Yes,No
129,100.0,0,Pankow,,,Yes,Yes,5,Yes,No
31,98.0,18,Charlottenburg-Wilm.,85,within an hour,No,Yes,238,No,Yes
41,98.0,6,Mitte,100,within an hour,Yes,Yes,10,Yes,Yes
54,100.0,16,Pankow,100,within an hour,Yes,Yes,11,Yes,No
43,94.0,0,Friedrichshain-Kreuzberg,,,No,Yes,7,Yes,No
190,100.0,0,Friedrichshain-Kreuzberg,0,,No,Yes,2,Yes,No
41,94.0,0,Mitte,,,No,Yes,18,Yes,No
93,89.0,90,Mitte,96,within a few hours,Yes,Yes,9,No,No
30,87.0,0,Neukölln,,,Yes,Yes,4,No,No
160,98.0,88,Mitte,88,within a day,Yes,Yes,13,No,Yes
31,60.0,31,Mitte,85,within an hour,Yes,Yes,1,Yes,No
65,95.0,38,Tempelhof - Schöneberg,100,within an hour,Yes,Yes,77,Yes,No
50,98.0,90,Pankow,59,within an hour,Yes,Yes,132,No,Yes
39,90.0,15,Neukölln,100,within an hour,Yes,Yes,2,Yes,No
20,100.0,49,Pankow,100,within a few hours,Yes,Yes,2,No,No
129,98.0,0,Friedrichshain-Kreuzberg,0,within a few hours,No,Yes,24,No,No
80,100.0,0,Lichtenberg,,,No,Yes,1,No,No
18,100.0,0,Friedrichshain-Kreuzberg,,,No,Yes,1,No,No
30,89.0,61,Mitte,70,within an hour,Yes,Yes,7,No,No
80,93.0,73,Pankow,100,within an hour,Yes,Yes,42,Yes,No
35,100.0,0,Neukölln,83,within a few hours,Yes,Yes,1,No,No
75,95.0,30,Friedrichshain-Kreuzberg,80,within a day,Yes,Yes,32,No,Yes
30,99.0,0,Treptow - Köpenick,,,Yes,Yes,21,Yes,No
43,97.0,63,Pankow,100,within an hour,Yes,Yes,192,Yes,Yes
27,97.0,30,Neukölln,95,within a few hours,No,Yes,187,No,Yes
44,89.0,77,Pankow,100,within an hour,Yes,Yes,80,Yes,No
