id,host_is_superhost,neighbourhood_group_cleansed,room_type,beds,availability_365,review_scores_rating
477515,Yes,Pankow,Entire home/apt,3.0,300+,91-100
477744,Yes,Friedrichshain-Kreuzberg,Private room,1.0,251-300,91-100
478015,No,Tempelhof - Schöneberg,Entire home/apt,1.0,0-50,91-100
480624,Yes,Friedrichshain-Kreuzberg,Private room,2.0,51-100,91-100
484506,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
485726,No,Charlottenburg-Wilm.,Entire home/apt,2.0,51-100,91-100
486192,No,Mitte,Private room,1.0,0-50,91-100
487126,No,Pankow,Entire home/apt,2.0,251-300,91-100
488161,Yes,Neukölln,Entire home/apt,1.0,300+,91-100
493072,Yes,Mitte,Private room,1.0,300+,91-100
493539,Yes,Mitte,Entire home/apt,2.0,300+,91-100
495435,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,below 70
499342,Yes,Mitte,Entire home/apt,1.0,300+,91-100
499353,Yes,Mitte,Entire home/apt,1.0,300+,91-100
499850,No,Mitte,Private room,0.0,300+,81-90
501735,No,Friedrichshain-Kreuzberg,Entire home/apt,2.0,0-50,91-100
502598,No,Mitte,Entire home/apt,2.0,51-100,91-100
504259,Yes,Pankow,Entire home/apt,6.0,300+,91-100
507671,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,300+,91-100
509432,No,Pankow,Private room,1.0,201-250,91-100
509787,No,Steglitz - Zehlendorf,Entire home/apt,3.0,300+,81-90
510987,No,Neukölln,Private room,1.0,0-50,91-100
511935,Yes,Tempelhof - Schöneberg,Entire home/apt,3.0,300+,91-100
512476,No,Tempelhof - Schöneberg,Entire home/apt,1.0,51-100,91-100
514246,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,101-150,91-100
519356,No,Treptow - Köpenick,Entire home/apt,2.0,0-50,91-100
519671,No,Pankow,Entire home/apt,3.0,300+,81-90
520538,No,Pankow,Entire home/apt,0.0,251-300,91-100
523052,No,Treptow - Köpenick,Entire home/apt,0.0,300+,91-100
530315,No,Mitte,Entire home/apt,2.0,0-50,91-100
532687,No,Neukölln,Private room,1.0,0-50,91-100
533155,No,Mitte,Entire home/apt,6.0,0-50,91-100
533523,No,Tempelhof - Schöneberg,Entire home/apt,0.0,300+,91-100
533864,Yes,Mitte,Entire home/apt,2.0,251-300,91-100
534415,No,Mitte,Entire home/apt,3.0,0-50,71-80
540705,Yes,Pankow,Entire home/apt,1.0,201-250,91-100
541569,Yes,Pankow,Entire home/apt,2.0,201-250,91-100
542316,No,Treptow - Köpenick,Entire home/apt,1.0,0-50,91-100
542674,No,Tempelhof - Schöneberg,Private room,2.0,0-50,91-100
544553,Yes,Friedrichshain-Kreuzberg,Private room,1.0,51-100,91-100
545037,Yes,Charlottenburg-Wilm.,Entire home/apt,1.0,101-150,91-100
547711,No,Mitte,Entire home/apt,2.0,51-100,81-90
550445,No,Mitte,Entire home/apt,1.0,0-50,91-100
551644,No,Friedrichshain-Kreuzberg,Private room,2.0,0-50,91-100
551710,No,Friedrichshain-Kreuzberg,Entire home/apt,1.0,251-300,91-100
552927,Yes,Treptow - Köpenick,Entire home/apt,5.0,51-100,81-90
555352,No,Treptow - Köpenick,Entire home/apt,3.0,0-50,71-80
556691,No,Mitte,Entire home/apt,3.0,300+,91-100
559210,No,Mitte,Private room,2.0,0-50,91-100
559794,No,Neukölln,Entire home/apt,1.0,201-250,91-100
563505,No,Charlottenburg-Wilm.,Entire home/apt,1.0,251-300,81-90
566841,Yes,Friedrichshain-Kreuzberg,Entire home/apt,1.0,0-50,91-100
